Name,Population,X,Y,System,Budget
NDIOBENE,233,-16.3951862662,15.7242372449,mini-grid,2373.20541808
AINOU MERINA,301,-16.5180719037,15.7069454032,grid,3380.81243544
MAKA NDIAYE,96,-16.4000049256,15.6547394798,mini-grid,826.204418838
SAM SAM,91,-16.483351832,15.7152842902,grid,1069.17996955
NORAYNI,47,-16.5190859081,15.7188639008,grid,492.999769728
MAKA TARE,201,-16.4078993609,15.7937412458,mini-grid,2030.93295554
GNAYAM,368,-16.5455110695,15.7545065101,grid,3951.59602872
NGOUFAT I,301,-16.4199572101,15.7299146776,grid,3380.81243544
POTOU II,110,-16.5240730972,15.7270829964,grid,938.921040687
NDEMBA I,79,-16.4047785841,15.6766917468,grid,956.765005779
KOGNE KOGNE I,119,-16.4851775896,15.6447388255,grid,1051.58699148
KEUR PATHE PEULH I,88,-16.481972793,15.6847257943,mini-grid,1069.03891484
GALOU DAMEL,301,-16.5853575081,15.668259059,grid,3380.81243544
MOUREL,402,-16.5001649958,15.7713810458,grid,4622.7579947
KEUR MOR ARENE,61,-16.3808530975,15.7038300881,grid,620.502594694
GABANE PEULH II,233,-16.4715416795,15.7379548874,grid,2373.20541808
THIARENE SARR I,105,-16.4571373752,15.8328649226,mini-grid,938.637045223
SOUKOUNDOU,301,-16.4967119625,15.7164780284,grid,3380.81243544
NGUEREUNG OUOLOF,301,-16.3919766368,15.6477245047,grid,3380.81243544
GABANE OUOLOF,540,-16.4686014947,15.7352632848,grid,5827.74114732
NDEMBA II,176,-16.404779136,15.6796431242,grid,1932.52329741
RAYETTE BAMBA,35,-16.4886063516,15.6821346636,mini-grid,556.702688745
MBAYE MBAYE MAYORO,59,-16.3736299776,15.7458322905,mini-grid,620.387898498
MBAMBA,13,-16.5166928477,15.6750069689,mini-grid,683.94294267
NDIAYENE OUOLOF,301,-16.424869975,15.7559545494,grid,3380.81243544
YEUGOUL MBOYO,301,-16.502803344,15.7194443112,grid,3380.81243544
THIAR NDIAYE II,301,-16.4502170868,15.7060680361,grid,3380.81243544
TOBY,57,-16.377985877,15.6797592961,mini-grid,508.55118197
MERINA SANTHIE,52,-16.424288342,15.6331516629,grid,508.429391094
SAGUE SATHIEL,722,-16.5728052752,15.6915622945,grid,8018.23488122
GOBAR,343,-16.5324402519,15.7789468152,grid,3603.31675438
WEKHE,99,-16.4712756725,15.8250845155,mini-grid,826.359787978
KEUR GOUMBA FAYE,301,-16.5619719209,15.7082333268,grid,3380.81243544
NGUEREUNG PEULH I,301,-16.387850462,15.6543524771,grid,3380.81243544
BOUNDOU WOULA I,301,-16.5713073433,15.6636715005,grid,3380.81243544
CHERIF,50,-16.4003475367,15.6221757597,mini-grid,508.380890126
