Name,Population,X,Y,System,Budget
NDIEUMB FALL,817,-16.4243102193,15.710180294,grid,9285.9786864
MAKA MOR MADICKE,132,-16.4994738908,15.7528105535,mini-grid,1367.37401329
MERINA DAKHAR,52,-16.432428479,15.6326203817,grid,508.429391094
KEUR NDARY,35,-16.5128756185,15.6501155106,grid,556.702688745
GATY TOYE II,233,-16.3876979041,15.7811354157,mini-grid,2373.20541808
KEUR KOURA,538,-16.5355146586,15.7039230615,grid,5826.66399339
NDIAYENE PEULH II,296,-16.4286317959,15.7468905734,grid,3379.56110709
MADAYANA MADE,318,-16.4297819914,15.7993116625,mini-grid,3256.38602969
NGUEREUNG PEULH I,301,-16.3861309094,15.6555590735,grid,3380.81243544
KEUR NDIAYE,301,-16.4666907788,15.7736088779,grid,3380.81243544
DIOKOUL WADE,106,-16.4528517558,15.7868589382,mini-grid,938.693699709
DAROU GUEYE,45,-16.4287401867,15.6345575432,grid,493.030876118
NDADE,248,-16.4430812866,15.7513916536,grid,2601.58766088
BAITY GUEYE,424,-16.4080918389,15.7050334421,grid,4519.13658157
SANTHIOU DIADJI,301,-16.3764042887,15.7379359447,mini-grid,3380.81243544
NDIELEGNE,181,-16.5028032833,15.7791682283,grid,2045.60899111
NGNANDOUL II,301,-16.3677754624,15.6995569472,grid,3380.81243544
THISNOR,39,-16.4984159842,15.8064331763,mini-grid,493.12370842
SAME NDIAYE,669,-16.3858526982,15.6766900108,grid,7605.2531171
THIELEMANE,36,-16.4140864693,15.822390249,mini-grid,556.689303763
DAO II,245,-16.549432338,15.6651820605,grid,2600.94355193
DIAMAGUEUNE OUOLOF,301,-16.3845206448,15.7040953473,grid,3380.81243544
NGOUFAT II,301,-16.4197805503,15.7359338025,grid,3380.81243544
DIAMAGUEUNE PEULH,301,-16.4583518928,15.7500020513,grid,3380.81243544
KOGNE KOGNE II,40,-16.4807593131,15.6453410978,grid,493.10828693
BAYAKH PEULH,364,-16.4198243353,15.6701694864,grid,3950.18755328
NDIAGNE FALL,50,-16.4880528309,15.8152836833,mini-grid,508.380890126
NGONDAM,89,-16.4738999747,15.6784299455,mini-grid,1069.08587326
GABANE OUOLOF,540,-16.4790147363,15.7282309584,grid,5827.74114732
GABANE PEULH I,301,-16.4680162068,15.7343554814,grid,3380.81243544
THIOWORE,2031,-16.4531526672,15.7308213455,grid,32910.4668333
THIAR SECK,301,-16.4492465675,15.7084658323,grid,3380.81243544
KEUR MANDIOL,204,-16.4455245849,15.7641855282,grid,2031.31149842
DALDIAM,52,-16.4666909354,15.6625079969,mini-grid,508.429391094
SAGUE DJIBY YAGUE,198,-16.5620746935,15.7178084835,grid,2273.08185368
WAKHALDIAM,173,-16.3930698137,15.7513917604,mini-grid,1932.1189557
TARE,788,-16.5278745717,15.7904079948,grid,9036.85676025
MBAYE MBAYE MAPATHE,301,-16.3715314843,15.6742995646,grid,3380.81243544
NDIAYENE SANTHIE,160,-16.422524721,15.7594303959,grid,1706.30228342
DAO I,79,-16.5444250715,15.6749523447,mini-grid,956.765005779
DALDAGOU,199,-16.510894045,15.7386227027,grid,2273.20222846
BOUNDOU WOULA II,301,-16.5788013726,15.6657599301,grid,3380.81243544
SAGNE,174,-16.5629671662,15.665051837,grid,1932.32086861
POTOU I,1151,-16.5240428346,15.723018035,grid,13660.5381975
DEUCK BOUREYE,301,-16.384740448,15.8055471804,mini-grid,3380.81243544
BEUT LAMINE,301,-16.4861327057,15.6625079785,mini-grid,3380.81243544
KEUR AMADOU MOUNA,301,-16.550022082,15.743051851,grid,3380.81243544
THIAR SENE,301,-16.4485238416,15.7002534149,grid,3380.81243544
NDOUNE,301,-16.4335391924,15.6925578733,grid,3380.81243544
NDIAYENE PEULH I,198,-16.4318918622,15.7540432664,grid,2273.08185368
GNANDOUL I,301,-16.3736585441,15.7002182572,grid,3380.81243544
GATY TOYE I,74,-16.3894664349,15.7730412399,mini-grid,844.721574317
SANTHIOU DIAOBE,93,-16.5139118679,15.6513986899,grid,1069.27430564
KEUR MALICK FALL,102,-16.5486337799,15.7472213611,grid,826.515751709
LEONA,1088,-16.459794852,15.7204712806,grid,12956.4932647
NDIALAKHAR SAMB,127,-16.4218786198,15.7737820274,mini-grid,1164.42742191
OUASSOUMASSAL,173,-16.5824494912,15.6726573569,grid,1932.1189557
SAGUE SAYORO,81,-16.5430831142,15.723614413,mini-grid,956.849521771
THIAR PEULH I,301,-16.4482237219,15.6970619073,grid,3380.81243544
MEDINE,63,-16.5750241061,15.6847262284,mini-grid,732.38910447
SYERE OUOLOF,301,-16.4466321816,15.6659731297,grid,3380.81243544
DABAYE NDIAYE,50,-16.5153750806,15.6488532683,grid,508.380890126
SANTHIOU DABAYE,17,-16.5069633313,15.6486188163,grid,683.906065603
MERINA NDIAYE PEULH,22,-16.3855668379,15.7020539479,grid,620.367399273
BAYAKH GAYE,294,-16.4035143319,15.6669161853,grid,3379.14612241
SYERE PEULH,301,-16.4506226649,15.6715718758,grid,3380.81243544
